x,y,vx,vy,rho,p,neighbor_count
9.400000013e-01,3.000083429e-02,1.264343324e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
9.500000013e-01,3.000083429e-02,1.264343361e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
9.600000013e-01,3.000083429e-02,1.264343430e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
9.700000013e-01,3.000083429e-02,1.264343446e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
9.800000013e-01,3.000083429e-02,1.264343432e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
9.900000013e-01,3.000083429e-02,1.264343430e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.000000001e+00,3.000083429e-02,1.264343410e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.010000001e+00,3.000083429e-02,1.264343386e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.020000001e+00,3.000083429e-02,1.264343380e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.030000001e+00,3.000083429e-02,1.264343384e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.040000001e+00,3.000083429e-02,1.264343385e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.050000001e+00,3.000083429e-02,1.264343386e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.060000001e+00,3.000083429e-02,1.264343386e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.070000001e+00,3.000083429e-02,1.264343386e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.080000001e+00,3.000083429e-02,1.264343383e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.090000001e+00,3.000083429e-02,1.264343368e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.100000001e+00,3.000083429e-02,1.264343342e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.110000001e+00,3.000083429e-02,1.264343333e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.120000001e+00,3.000083429e-02,1.264343347e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
1.130000001e+00,3.000083429e-02,1.264343323e-05,5.487919556e-03,1.002968205e+03,2.968204682e+05,36
