x,y,vx,vy,rho,pressure,neighbor_count
5.074440885e-01,1.867523316e-01,8.401131351e+00,2.596719387e+00,9.986847711e+02,-7.817690259e+04,14
5.747276223e-01,1.747915623e-01,1.281770868e+01,-3.514705691e+00,1.017817056e+03,5.829831533e+05,11
4.500000000e-06,1.972907555e-01,0.000000000e+00,2.452218530e-02,1.005202082e+03,1.508161677e+06,13
8.891959625e-02,2.837996677e-01,-2.951987333e+00,2.932156108e+00,1.005497872e+03,9.288661601e+04,11
1.153895508e-01,2.371737362e-01,-1.302923339e+00,-1.693644387e-01,9.874268613e+02,-3.090143893e+05,8
2.237214023e-01,2.903093672e-01,7.819522957e+00,2.759249623e+00,9.938196156e+02,-1.055450877e+05,12
2.653628203e-01,2.159645295e-01,1.782377570e+01,-1.573575927e+01,9.658200515e+02,-3.090143893e+05,5
2.820201264e-01,2.678175732e-01,6.401305006e+00,3.021165726e+00,9.894677882e+02,-2.459824946e+05,14
3.374065357e-01,2.493786648e-01,8.259349472e+00,-1.371900418e+00,9.910798995e+02,-9.666313903e+04,14
3.611750237e-01,2.495785588e-01,1.318648144e+01,3.257821510e+00,9.928844803e+02,-3.090143893e+05,15
3.911200336e-01,2.416138834e-01,1.223380043e+01,-2.562464429e+00,1.005939818e+03,1.724558618e+05,15
3.912786190e-01,2.384353210e-01,1.005634246e+01,2.545132511e+00,9.932592038e+02,-1.669556381e+05,15
4.292686137e-01,2.382513612e-01,7.975382728e+00,-1.122810904e+00,1.001691928e+03,-2.330147951e+04,15
4.657491362e-01,2.478038886e-01,1.373734850e+01,-1.256814484e+00,9.972917636e+02,-4.454259595e+04,15
5.231648284e-01,2.297682321e-01,1.463882063e+01,-2.180992445e+00,1.000234252e+03,1.441483710e+04,13
5.345317058e-01,2.718272910e-01,1.027051573e+01,8.596291142e-01,1.000055261e+03,2.406933640e+04,9
5.621227388e-01,2.093177372e-01,1.445019438e+01,-4.380249861e+00,9.992826840e+02,-8.222946559e+04,11
5.434398979e-01,2.654211996e-01,1.192882685e+01,1.331249815e+00,9.995532665e+02,6.102059855e+03,9
4.500000000e-06,2.266822137e-01,0.000000000e+00,1.574882059e-02,1.004883980e+03,1.479298351e+06,12
9.367394800e-02,2.625982056e-01,-4.959039337e+00,-9.162694414e-01,9.939298847e+02,-2.600815888e+05,12
1.706718577e-01,2.756343152e-01,5.192047330e+00,2.461520818e-01,1.000601263e+03,-3.090143893e+05,12
2.027399067e-01,2.947015453e-01,4.134072164e+00,1.473518253e+00,9.875156441e+02,-9.610468146e+04,11
2.532456900e-01,2.798874583e-01,9.307830588e+00,1.796686530e+00,9.989189131e+02,-1.011262394e+04,13
2.818353342e-01,2.631321680e-01,8.089290877e+00,5.020447055e+00,9.964474780e+02,-3.695212209e+04,14
3.015313056e-01,2.600324943e-01,3.987209697e+00,-4.211331090e-02,1.013394177e+03,3.674698440e+05,15
3.616241086e-01,2.780858393e-01,1.313897489e+01,7.753230673e-01,9.876434143e+02,-2.668041450e+05,14
3.909977233e-01,2.665387871e-01,1.400101633e+01,2.050660585e+00,9.909498978e+02,-2.694698020e+05,14
4.133262397e-01,2.535104848e-01,1.172334260e+01,-7.832206516e-01,1.006594529e+03,1.940011786e+05,14
4.169727209e-01,2.802015682e-01,1.137627285e+01,2.660842997e+00,1.000251167e+03,8.205806723e+04,13
4.759258050e-01,2.226287158e-01,1.145668694e+01,-1.285576929e+00,1.001607597e+03,3.224537026e+04,13
5.023935960e-01,2.314248222e-01,1.370700243e+01,-1.227086034e+00,1.000994294e+03,3.899202730e+04,14
5.300884680e-01,2.613049009e-01,1.367334668e+01,8.385319009e-01,9.980844785e+02,-6.785751281e+04,11
5.431009177e-01,1.801969867e-01,1.171391227e+01,-5.386496571e+00,9.970473160e+02,-9.571758751e+04,14
5.592187138e-01,2.153120865e-01,1.267368361e+01,-9.034118107e-01,9.985301957e+02,-5.965547958e+04,8
4.500000000e-06,2.558544935e-01,0.000000000e+00,8.171592298e-03,1.005082767e+03,1.494606015e+06,13
8.647062339e-02,2.941389723e-01,3.246464279e-01,3.923726606e+00,9.984883049e+02,1.026361874e+05,11
1.665499476e-01,2.786489386e-01,2.112168068e+00,2.782888447e-01,1.007120509e+03,2.063541952e+05,12
2.124194744e-01,3.142264830e-01,4.587957206e+00,6.267049672e+00,9.813909379e+02,1.146874971e+05,13
2.319046116e-01,2.611483665e-01,-4.844041080e+00,3.271035894e+00,1.004754009e+03,-3.090143893e+05,10
