step,t,dt,vmax,rho_min,rho_avg,rho_max,err_avg_pct,p_min,p_avg,p_max,neigh_min,neigh_avg,neigh_max
55,0.011000000000000003,0.0002,0.8401199577347991,812.4343720784786,968.2211690852934,1010.0000033945178,-3.177883091470663,0.0,607.7723129155089,15930.993859636743,5,8.834285714285715,10
56,0.011200000000000003,0.0002,0.8401399577347991,811.6390218840226,967.7988227030039,1010.0001108905375,-3.220117729699612,0.0,1053.4434025505432,24342.220934596502,5,8.857142857142858,11
57,0.011400000000000004,0.0002,0.8401599577347991,810.8412027804179,967.3782840951828,1010.0000018671499,-3.2621715904817195,0.0,538.9290689540809,20954.10437068822,5,8.857142857142858,11
58,0.011600000000000004,0.0002,0.8401799577347991,810.0409491362935,966.9708433710837,1010.0000286059217,-3.3029156628916376,0.0,520.5715332900024,27462.188943001827,5,8.902857142857142,11
59,0.011800000000000005,0.0002,0.8401999577347992,809.2382955087088,966.5751549039537,1010.000002421515,-3.3424845096046365,0.0,528.8328580702429,22565.639988736493,5,8.948571428571428,11
60,0.012000000000000005,0.0002,0.8402199577347992,808.4332766362564,966.1874930204527,1010.0000000127226,-3.381250697954746,0.0,188.8910764731131,11998.491783565736,5,8.971428571428572,11
61,0.012200000000000006,0.0002,0.8402399577347992,807.6259274320685,965.8054092078427,1010.000000004869,-3.419459079215722,0.0,72.30425139194868,3529.9099087504087,5,8.971428571428572,11
62,0.012400000000000007,0.0002,0.8402599577347992,806.8162829767308,965.4292069728233,1010.0000000021531,-3.4570793027176667,0.0,20.53603730772184,1796.9063649892234,5,8.971428571428572,11
63,0.012600000000000007,0.0002,0.8402799577347992,806.0043785111069,965.0585779255463,1010.0000000014725,-3.494142207445371,0.0,25.03490748160425,2025.2068897028244,5,9.005714285714285,11
64,0.012800000000000008,0.0002,0.8402999577347993,805.1902494290761,964.6946969874891,1010.0000000164817,-3.5305303012510727,0.0,145.92915493972438,6968.503492407925,5,9.017142857142858,11
65,0.013000000000000008,0.0002,0.8403199577347993,804.3739312701889,964.3379130594157,1010.0000000009309,-3.566208694058422,0.0,9.787612414582714,803.5591337843301,5,9.04,11
66,0.013200000000000009,0.0002,0.8403399577347993,803.5554597122403,963.9864524781426,1010.0000000010605,-3.6013547521857383,0.0,41.59301609624904,1479.6851696743938,5,9.062857142857142,11
67,0.013400000000000009,0.0002,0.8403599577347993,802.7348705637728,963.6413565484416,1010.0000000023708,-3.635864345155849,0.0,69.3996180154122,2524.0164987388284,5,9.085714285714285,11
68,0.01360000000000001,0.0002,0.8403799577347993,801.9121997564986,963.3055966575756,1010.0000015570365,-3.669440334242434,0.0,509.7165083166335,19669.71729052095,5,9.085714285714285,11
69,0.01380000000000001,0.0002,0.8403999577347994,801.08748333766,962.9868064710488,1010.0000048018851,-3.7013193528951343,0.0,916.373692032041,37166.01690616367,5,9.131428571428572,11
70,0.01400000000000001,0.0002,0.8404199577347994,800.2607574623187,962.6821230456518,1010.0000004608974,-3.7317876954348197,0.0,231.2374688531754,6545.232381263229,5,9.154285714285715,11
71,0.014200000000000011,0.0002,0.8404399577347994,799.4320583855846,962.3810744336201,1010.0000000019533,-3.761892556637986,0.0,32.64280332902644,1542.3556664893915,5,9.154285714285715,11
72,0.014400000000000012,0.0002,0.8404599577347994,798.6014224547852,962.0862269188797,1010.000005078108,-3.7913773081120428,0.0,248.9995695057427,9091.065475693576,5,9.154285714285715,11
73,0.014600000000000012,0.0002,0.8404799577347994,797.7688861015778,961.7995577950167,1010.0000000080889,-3.820044220498333,0.0,113.64345466513444,4515.141036756433,5,9.154285714285715,11
74,0.014800000000000013,0.0002,0.8404999577347995,796.9344858340121,961.5175559810343,1010.0000000000002,-3.848244401896562,0.0,23.355747077785665,4087.2557386124913,5,9.165714285714285,11
75,0.015000000000000013,0.0002,0.8405199577347995,796.0982582285392,961.2399200784082,1010.0000000026954,-3.876007992159178,0.0,8.434202656159629,694.7734510411807,5,9.188571428571429,11
76,0.015200000000000014,0.0002,0.8405399577347995,795.2602399219788,960.9678066680783,1010.0000065703165,-3.903219333192161,0.0,143.87384535999578,4371.643581621868,5,9.2,11
77,0.015400000000000014,0.0002,0.8405599577347995,794.4204676034415,960.6880792115755,1010.0000229100525,-3.9311920788424577,0.0,665.5812433170462,41592.835603340405,5,9.2,11
78,0.015600000000000015,0.0002,0.8405799577347995,793.5789780062124,960.3930116579728,1010.0000023919738,-3.960698834202709,0.0,614.1952718146442,12815.924717526637,5,9.2,11
79,0.015800000000000015,0.0002,0.8405999577347996,792.7358078995993,960.1116038279574,1010.0000000024561,-3.9888396172042406,0.0,117.55946801727272,5563.892293221276,5,9.211428571428572,11
80,0.016000000000000014,0.0002,0.8406199577347996,791.8909940807476,959.8355938032526,1010.0000007773896,-4.016440619674733,0.0,166.00823522179297,15383.527636364735,5,9.2,11
81,0.016200000000000013,0.0002,0.8406399577347996,791.044573366425,959.5617322065272,1010.0000003658187,-4.043826779347255,0.0,124.26770835361287,3753.4187060060276,5,9.2,11
82,0.016400000000000012,0.0002,0.8406599577347996,790.196582584782,959.2906939068638,1010.0000008797014,-4.070930609313626,0.0,248.56447149309497,20606.134660739077,5,9.2,11
83,0.01660000000000001,0.0002,0.8406799577347996,789.3470585670868,959.0210954330494,1010.0000170394485,-4.09789045669506,0.0,1134.2920721881942,27443.695846975304,5,9.2,11
84,0.01680000000000001,0.0002,0.8406999577347997,788.4960381394422,958.7647640239536,1010.0000001246191,-4.123523597604652,0.0,247.3381342248547,15371.487837828852,5,9.2,11
85,0.017000000000000008,0.0002,0.8407199577347997,787.6435581144854,958.5048200158822,1010.0000003510747,-4.149517998411797,0.0,478.80466484343344,35062.02232063692,5,9.2,11
86,0.017200000000000007,0.0002,0.8407399577347997,786.7896552830726,958.2339650168534,1010.0000000014722,-4.1766034983146385,0.0,175.866313065523,9095.730192323208,5,9.2,11
87,0.017400000000000006,0.0002,0.8407599577347997,785.9343664059558,957.9628477276034,1010.0000045064356,-4.203715227239677,0.0,324.6253994751449,25512.05375354641,5,9.222857142857142,11
88,0.017600000000000005,0.0002,0.8407799577347997,785.0777282054484,957.6850174394536,1010.0000000083069,-4.2314982560546355,0.0,159.40344347392784,5195.155527815125,5,9.222857142857142,11
89,0.017800000000000003,0.0002,0.8407999577347998,784.2197773570904,957.4192151509884,1010.000000511595,-4.258078484901164,0.0,278.99830204773593,8332.570749849681,5,9.234285714285715,11
90,0.018000000000000002,0.0002,0.8408199577347998,783.3605504813079,957.1576792888742,1010.0000000009614,-4.284232071112575,0.0,115.66290989817074,6146.516840506232,5,9.234285714285715,11
91,0.0182,0.0002,0.8408399577347998,782.5000841350765,956.899410835707,1010.000000268029,-4.310058916429296,0.0,223.4850277002014,11492.84957663554,5,9.211428571428572,11
92,0.0184,0.0002,0.8408599577347998,781.6384148035896,956.6465528019119,1010.0000000067101,-4.335344719808823,0.0,200.36792494253135,14459.483077961857,5,9.211428571428572,11
