step,t,dt,vmax,rho_min,rho_avg,rho_max,err_avg_pct,p_min,p_avg,p_max,neigh_min,neigh_avg,neigh_max
43,0.021500000000000016,0.0005,1.337172728968168,972.6833719665526,1003.5549596967098,1054.2577999414164,0.35549596967099145,-13658.314016723692,1777.4798483549575,27128.899970708175,7,9.76,13
44,0.022000000000000016,0.0005,1.081305628659076,972.992409819153,1006.6434432173097,1078.47675621462,0.6643443217309587,-13503.795090423522,3321.721608654793,39238.37810731004,7,9.78,13
45,0.022500000000000017,0.0005,1.920714636218616,978.6205099679268,1007.8848222128196,1067.3108623727721,0.7884822212819769,-10689.745016036624,3942.4111064098847,33655.431186386064,7,9.72,14
46,0.023000000000000017,0.0005,2.283008224629964,985.6610919730607,1007.0036264428921,1038.5770435330235,0.7003626442892255,-7169.454013469647,3501.8132214461275,19288.521766511734,7,9.76,14
47,0.023500000000000017,0.0005,1.8511682895127557,962.4859621657863,1004.94620774434,1031.9033715815624,0.49462077443399,-18757.01891710685,2473.10387216995,15951.685790781197,7,9.76,14
48,0.024000000000000018,0.0005,0.7697893473432833,920.6612863330248,1002.9400512280034,1038.4547931961501,0.2940051228003438,-39669.356833487596,1470.0256140017186,19227.396598075073,7,9.52,13
49,0.02450000000000002,0.0005,1.200476539596432,916.5711694610275,1001.7173872531869,1039.4320076785368,0.17173872531868664,-41714.415269486264,858.6936265934331,19716.00383926841,7,9.4,12
50,0.02500000000000002,0.0005,1.5613123394332993,950.1502744803219,1001.5129403148203,1035.890114877884,0.1512940314820308,-24924.862759839074,756.4701574101538,17945.057438941945,7,9.38,12
51,0.02550000000000002,0.0005,1.3367745590369289,974.7743022834028,1002.0237731922992,1038.1734627402561,0.20237731922993432,-12612.848858298605,1011.8865961496714,19086.731370128065,7,9.5,12
52,0.02600000000000002,0.0005,1.0850184958301896,977.1927281157269,1002.3191036453117,1059.7922589390714,0.23191036453115416,-11403.635942136532,1159.551822655771,29896.129469535706,7,9.42,12
53,0.02650000000000002,0.0005,1.3151920332475784,969.0256654166745,1001.5311380901065,1056.9792241497685,0.15311380901064986,-15487.167291662729,765.5690450532494,28489.612074884237,7,9.38,12
54,0.02700000000000002,0.0005,1.5901175428612317,962.8523469325517,999.6002130957969,1035.8940649460924,-0.03997869042028885,-18573.826533724172,-199.89345210144396,17947.032473046194,7,9.38,12
55,0.02750000000000002,0.0005,1.3898532307675306,963.4201172132141,997.2857996187422,1037.5033015869865,-0.27142003812578464,-18289.94139339295,-1357.100190628923,18751.65079349324,5,9.3,12
56,0.02800000000000002,0.0005,0.9605560302794649,945.6311308637721,995.5731297806432,1034.1280129352713,-0.44268702193568576,-27184.434568113942,-2213.435109678429,17064.006467635634,5,9.44,12
57,0.028500000000000022,0.0005,1.225492157295527,937.1923235251562,995.0598918097917,1026.6729900247037,-0.49401081902082894,-31403.838237421893,-2470.054095104145,13336.495012351861,5,9.54,12
58,0.029000000000000022,0.0005,1.469338219587233,955.4531917089561,995.8669785970084,1024.7861417017225,-0.41330214029915757,-22273.404145521967,-2066.510701495788,12393.07085086125,7,9.7,12
59,0.029500000000000023,0.0005,1.3587588736115417,963.1600842660414,997.6246727797541,1023.8895781343181,-0.2375327220245984,-18419.957866979305,-1187.6636101229917,11944.789067159036,7,9.7,12
60,0.030000000000000023,0.0005,1.0670932044430175,969.609028072052,999.3903280865861,1058.3657348123654,-0.060967191341402736,-15195.485963974023,-304.83595670701385,29182.867406182708,7,9.62,12
61,0.030500000000000024,0.0005,1.1267210540008425,964.497941651444,1000.0129088260172,1068.0656979073199,0.0012908826017438198,-17751.029174278017,6.454413008719457,34032.84895365994,7,9.62,12
62,0.031000000000000024,0.0005,1.6984200814635475,960.9929862650114,999.0332496198939,1047.9551899421192,-0.09667503801061361,-19503.50686749431,-483.37519005306837,23977.594971059603,7,9.62,12
63,0.03150000000000002,0.0005,1.7038711742432626,956.0065220785438,997.1492375600226,1033.3021361035276,-0.28507624399774634,-21996.738960728122,-1425.3812199887316,16651.06805176379,5,9.56,12
64,0.03200000000000002,0.0005,1.0930239506055852,955.6459822379526,995.7088998524351,1033.598373452472,-0.4291100147564929,-22177.00888102371,-2145.550073782465,16799.186726236032,5,9.58,12
65,0.03250000000000002,0.0005,1.0108775168396196,947.0141326258948,995.78732648149,1029.0184632597907,-0.4212673518510207,-26492.933687052584,-2106.336759255104,14509.23162989534,5,9.6,12
66,0.03300000000000002,0.0005,1.510518364929232,958.185400019672,997.7528960086087,1027.5093236404934,-0.22471039913912386,-20907.299990164007,-1123.5519956956196,13754.661820246725,5,9.46,12
67,0.03350000000000002,0.0005,1.4831608783927037,979.0194606863961,1001.1828986299745,1027.135458141515,0.11828986299744076,-10490.269656801956,591.4493149872037,13567.729070757538,5,9.48,12
68,0.03400000000000002,0.0005,1.1590300174756312,973.1522598543642,1004.8986883985812,1047.8898499618813,0.4898688398581159,-13423.87007281792,2449.3441992905805,23944.92498094064,5,9.48,12
69,0.034500000000000024,0.0005,1.2371921402588661,973.092998317524,1007.5316529399164,1062.0911498502412,0.7531652939916281,-13453.500841237998,3765.8264699581405,31045.574925120603,5,9.42,12
70,0.035000000000000024,0.0005,1.7515085715889718,978.4616703881194,1008.3259413097602,1049.610821056334,0.8325941309760162,-10769.164805940307,4162.9706548800805,24805.410528167045,5,9.38,12
