x,y,vx,vy,rho,pressure,neighbor_count
2.309449778e-01,8.598166485e-02,6.088251234e+00,9.447851240e-01,9.888600592e+02,-2.887060815e+05,14
2.417167207e-01,8.465161279e-02,8.282700973e+00,-2.992743014e+00,1.010712804e+03,2.731597245e+05,11
2.932647047e-01,8.072035113e-02,1.041422988e+01,4.545223585e-01,9.974418407e+02,-1.679960088e+05,12
2.909966837e-01,8.256948651e-02,1.365404499e+01,-7.059381145e-01,9.914622138e+02,-4.455593272e+05,12
3.366079882e-01,9.284394793e-02,1.225170142e+01,2.414855869e+00,1.019647978e+03,4.245814463e+05,10
3.732975447e-01,6.668586756e-02,1.467156877e+01,-5.118423819e-01,9.950829471e+02,1.526048599e+05,11
3.246275938e-01,9.240532438e-02,8.534552189e+00,1.585166173e+00,9.780663629e+02,-8.297063870e+05,12
4.097955005e-01,1.167306055e-01,1.328922432e+01,8.333341039e+00,9.993278366e+02,-1.518433730e+05,8
3.996776303e-01,6.689067461e-02,3.770332576e+00,2.699061165e+00,9.996971909e+02,-2.315128819e+03,9
4.479063968e-01,9.676737906e-02,1.285517373e+01,-4.330490692e+00,1.001094478e+03,9.096678427e+04,9
4.500000000e-06,5.031597255e-02,0.000000000e+00,6.534725805e-02,1.004193104e+03,1.511873914e+06,12
1.123258170e-01,1.548437488e-01,5.811751030e+00,1.628506336e+01,9.959323350e+02,-8.607048977e+05,8
1.060362666e-01,1.656678173e-01,-3.382130865e+00,9.243563104e+00,9.890696401e+02,-2.339245470e+05,9
2.128043616e-01,1.235227836e-01,1.685239880e+01,-7.419686404e-01,1.002051116e+03,-1.482327323e+05,15
2.272953688e-01,1.151630823e-01,1.744224417e+01,6.900562355e+00,1.010802062e+03,5.298110285e+05,13
2.022441499e-01,7.705143291e-02,7.085008016e+00,-3.648406833e+00,9.895623051e+02,-7.380710608e+05,13
2.282360624e-01,1.179349089e-01,4.282607903e+00,2.892933101e+00,1.006954951e+03,4.142940502e+05,14
2.400996817e-01,9.522493060e-02,6.995812260e+00,-2.724615471e+00,9.967520655e+02,6.204110701e+04,12
2.849762588e-01,1.178243601e-01,1.084837057e+01,7.735919879e-01,9.979181676e+02,1.107266379e+05,13
2.879692180e-01,1.442946704e-01,6.341207129e+00,9.765460555e+00,1.004195393e+03,1.648991206e+05,15
3.138394492e-01,1.043451242e-01,1.581803785e+01,-4.378664287e+00,1.019466300e+03,6.607256208e+05,11
3.566433554e-01,8.595011261e-02,1.219837543e+01,2.594467313e-01,9.866945706e+02,-9.113956312e+05,10
3.606951714e-01,1.225007767e-01,9.671398516e+00,3.335493906e+00,1.006929286e+03,2.206128222e+05,7
4.123503327e-01,1.181216918e-01,1.368423925e+01,6.170288963e+00,1.007275376e+03,4.499322553e+05,9
4.309858582e-01,1.010572695e-01,1.295067282e+01,5.266738429e+00,9.989344525e+02,-8.055159458e+04,11
4.378729729e-01,9.556314558e-02,1.707712023e+01,5.046544144e+00,1.000598007e+03,1.994592630e+05,11
1.546054866e-01,1.751584795e-01,1.923320807e+01,2.689188321e+01,1.073279179e+03,3.433745558e+05,15
1.181722820e-01,1.011861315e-01,7.556629312e+00,-1.193157436e+01,4.080479196e+02,-9.113956312e+05,3
1.386254796e-01,1.793673379e-01,1.740996566e+00,1.401921684e+01,1.030605068e+03,6.083963431e+04,14
1.650924803e-01,1.606318283e-01,1.228091661e+01,1.628122247e+01,1.011213209e+03,4.157263830e+05,12
2.060088882e-01,1.366837523e-01,1.596026660e+01,1.806996628e+00,1.026006082e+03,3.809583517e+05,15
2.075936414e-01,1.442208540e-01,8.304145634e+00,8.597705379e+00,1.007136223e+03,-6.662371848e+04,13
2.573814980e-01,1.216953870e-01,2.574208664e+01,7.254075162e+00,1.050432665e+03,1.308683342e+06,13
2.546558722e-01,1.157650796e-01,8.617819438e+00,2.182879206e+00,9.658170362e+02,-7.900026555e+05,13
2.908074175e-01,1.067435337e-01,1.313658402e+01,-5.705314654e+00,9.930092874e+02,-1.463450438e+05,11
2.967138671e-01,1.311275676e-01,6.887998906e+00,5.124816976e+00,9.951242579e+02,-1.963759364e+04,13
3.102088023e-01,1.136225292e-01,5.660843545e+00,1.146740974e+00,9.965833106e+02,-1.885368672e+05,12
3.546554008e-01,1.178149297e-01,1.422172568e+01,-2.140819513e+00,9.916999884e+02,-1.222804555e+05,9
3.550096765e-01,1.009120981e-01,9.574669636e+00,-4.109400763e+00,9.961738752e+02,-1.786125312e+04,10
4.144516654e-01,1.320910113e-01,1.308478688e+01,1.823401828e+00,9.965115379e+02,-1.511539321e+05,11
4.394240219e-01,1.573939047e-01,1.866717146e+01,3.746465963e+00,9.936870247e+02,-4.453543291e+05,9
4.523918603e-01,1.226693717e-01,1.576887000e+01,4.445909698e+00,1.000595598e+03,4.763847515e+04,11
4.500000000e-06,7.895840944e-02,0.000000000e+00,6.694743450e-01,1.005062471e+03,1.535645074e+06,13
8.379039783e-02,1.350895556e-01,1.219275370e+01,-1.958817709e-01,1.000290499e+03,-4.729050934e+05,10
