step,t,name,p,vx,vy,vz
1120,0.224000,inlet,2225.833784,-0.009534,-0.051044,-0.005361
1120,0.224000,outlet,4272.733687,0.002659,-0.000192,0.002006
1120,0.224000,mid,7340.891470,0.067756,0.009401,0.013829
1130,0.226000,inlet,4655.797515,-0.006914,-0.050815,-0.004793
1130,0.226000,outlet,4287.368272,0.002675,-0.000183,0.002009
1130,0.226000,mid,7345.687806,0.068704,0.009632,0.013647
1140,0.228000,inlet,4992.379306,-0.002743,-0.050663,-0.004998
1140,0.228000,outlet,4302.191930,0.002694,-0.000171,0.002012
1140,0.228000,mid,7350.442888,0.069671,0.009843,0.013460
1150,0.230000,inlet,3224.587644,-0.001724,-0.050159,-0.005236
1150,0.230000,outlet,4317.213771,0.002715,-0.000159,0.002017
1150,0.230000,mid,7354.026666,0.070652,0.010047,0.013266
1160,0.232000,inlet,3510.544736,-0.003826,-0.049062,-0.005829
1160,0.232000,outlet,4332.442100,0.002739,-0.000145,0.002022
1160,0.232000,mid,7356.373580,0.071640,0.010259,0.013089
1170,0.234000,inlet,2600.193791,-0.001197,-0.048018,-0.005412
1170,0.234000,outlet,4347.883490,0.002765,-0.000130,0.002027
1170,0.234000,mid,7358.660432,0.072632,0.010481,0.012918
1180,0.236000,inlet,784.739118,-0.006794,-0.047035,-0.003627
1180,0.236000,outlet,4363.541555,0.002793,-0.000114,0.002033
1180,0.236000,mid,7360.887003,0.073639,0.010689,0.012756
1190,0.238000,inlet,0.000000,-0.005393,-0.046929,-0.003643
1190,0.238000,outlet,4379.418480,0.002822,-0.000096,0.002041
1190,0.238000,mid,7363.053278,0.074661,0.010888,0.012590
1200,0.240000,inlet,1209.694200,-0.001764,-0.046129,-0.004693
1200,0.240000,outlet,4395.516848,0.002853,-0.000076,0.002050
1200,0.240000,mid,7365.159330,0.075693,0.011072,0.012413
1210,0.242000,inlet,0.000000,-0.002765,-0.045395,-0.004427
1210,0.242000,outlet,4411.843455,0.002886,-0.000055,0.002061
1210,0.242000,mid,7367.205180,0.076735,0.011245,0.012234
1220,0.244000,inlet,0.000000,-0.012418,-0.044221,-0.003652
1220,0.244000,outlet,4428.411933,0.002920,-0.000033,0.002075
1220,0.244000,mid,7369.191051,0.077789,0.011401,0.012047
1230,0.246000,inlet,4216.709568,-0.000802,-0.044595,-0.004973
1230,0.246000,outlet,4445.227588,0.002955,-0.000013,0.002091
1230,0.246000,mid,7371.117640,0.078859,0.011533,0.011857
1240,0.248000,inlet,6233.553779,0.000336,-0.044215,-0.004710
1240,0.248000,outlet,4462.287616,0.002992,0.000003,0.002108
1240,0.248000,mid,7372.985687,0.079933,0.011643,0.011662
1250,0.250000,inlet,0.000000,-0.014791,-0.042902,-0.003152
1250,0.250000,outlet,4479.264434,0.003030,0.000015,0.002125
1250,0.250000,mid,7374.795936,0.081018,0.011731,0.011461
1260,0.252000,inlet,39.027311,-0.004405,-0.042476,-0.004729
1260,0.252000,outlet,4492.557369,0.003069,0.000022,0.002142
1260,0.252000,mid,7376.549107,0.082110,0.011805,0.011251
1270,0.254000,inlet,4214.151669,-0.002215,-0.042334,-0.004505
1270,0.254000,outlet,4506.041433,0.003109,0.000025,0.002158
1270,0.254000,mid,7378.245975,0.083211,0.011861,0.011032
1280,0.256000,inlet,6967.712889,-0.003100,-0.042173,-0.003735
1280,0.256000,outlet,4519.725077,0.003151,0.000022,0.002173
1280,0.256000,mid,7379.887472,0.084317,0.011895,0.010811
1290,0.258000,inlet,4096.286942,-0.001832,-0.041738,-0.004463
1290,0.258000,outlet,4533.617304,0.003194,0.000016,0.002188
1290,0.258000,mid,7381.474797,0.085428,0.011914,0.010583
1300,0.260000,inlet,4385.621834,-0.001708,-0.041235,-0.004523
1300,0.260000,outlet,4547.727429,0.003239,0.000006,0.002201
1300,0.260000,mid,7383.009280,0.086548,0.011914,0.010356
1310,0.262000,inlet,4271.251504,-0.003556,-0.041118,-0.003925
1310,0.262000,outlet,4557.730616,0.003286,-0.000006,0.002214
1310,0.262000,mid,7384.492289,0.087667,0.011896,0.010120
1320,0.264000,inlet,5952.028061,-0.001080,-0.040674,-0.003971
1320,0.264000,outlet,4567.279003,0.003334,-0.000022,0.002227
1320,0.264000,mid,7385.925272,0.088792,0.011857,0.009890
1330,0.266000,inlet,645.674260,-0.004260,-0.039838,-0.003826
1330,0.266000,outlet,4576.998452,0.003384,-0.000040,0.002238
1330,0.266000,mid,7387.309588,0.089892,0.011799,0.009644
1340,0.268000,inlet,508.953642,-0.005218,-0.038764,-0.002796
1340,0.268000,outlet,4586.886831,0.003434,-0.000059,0.002248
1340,0.268000,mid,7388.646678,0.091016,0.011735,0.009402
1350,0.270000,inlet,1871.820731,-0.004654,-0.039150,-0.003510
1350,0.270000,outlet,4596.951536,0.003486,-0.000078,0.002256
